interface_guess,feature_proxy,event_count,unique_users
RUI,/api/v1/collisions,433800,1693
OTHER,/asct-b/bonemarrow-pelvis/v1.0,415171,313
OTHER,/asct-b/bonemarrow-pelvis/v1.0/,308667,343
OTHER,/sparql,284465,4096
RUI,/api/v1/extraction-site,200121,214
OTHER,/robots.txt,171774,27629
OTHER,/hra-releases/v1.0/docs/asct-b/bone-marrow-and-blood.html,161414,84
OTHER,/asctb-api/v2/csv,122440,2006
OTHER,/kg-explorer/asct-b/bonemarrow-pelvis/v1.0,106195,132
OTHER,/tr,95513,5024
RUI,/hra-api/v1/get-spatial-placement,88278,23
OTHER,/api/,74691,24644
EUI,/api/v1/cell-type-term-occurences,40267,6833
RUI,/api/v1/tissue-blocks,39975,10034
OTHER,/api/v1/session-token,37726,9166
EUI,/api/v1/aggregate-results,34649,9954
OTHER,/api/kg/do-search,29463,1996
EUI,/api/v1/ontology-term-occurences,29283,6825
EUI,/api/v1/scene,29158,7048
OTHER,/3d-reference-library,29115,13686
EUI,/api/v1/biomarker-term-occurences,26527,6831
EUI,/api/v1/ontology-tree-model,25687,11667
OTHER,/kg-explorer/,21362,5979
EUI,/api/v1/cell-type-tree-model,20935,8811
EUI,/api/v1/biomarker-tree-model,20884,8825
EUI,/api/v1/reference-organs,19425,10400
OTHER,/tr-dev,19371,144
OTHER,/api/kg/digital-objects,17921,7103
OTHER,/eui/,16896,4894
OTHER,/omap,16800,7727
OTHER,/image-store/vccf-data-cell-nodes/published/colon-cycif-sorgerlab/crc01002-edges.csv,16274,725
EUI,/api/v1/technology-names,15985,6591
EUI,/api/v1/provider-names,15845,6612
EUI,/api/v1/reference-organ-scene,15824,4373
RUI,/hubmap-hra-api/v1/tissue-blocks,15638,2178
EUI,/hubmap-hra-api/v1/aggregate-results,14331,2175
OTHER,/asct-b/ovary/v1.3,11648,446
OTHER,/image-store/vccf-data-cell-nodes/published/colon-cycif-sorgerlab/crc01002-nodes.csv,11264,724
OTHER,/objects/v1.2/vh_f_kidney_l.glb,9810,4366
OTHER,/asct-b/skeleton/v1.2,9534,550
OTHER,/api/kg/asctb-term-occurences,9315,2262
OTHER,/asctb-tables,9237,4769
OTHER,/robots.txt/,8929,4273
OTHER,/objects/v1.2/vh_m_kidney_l.glb,8733,4849
EUI,/hubmap-hra-api/v1/reference-organ-scene,8669,1413
OTHER,/objects/v1.2/vh_m_heart.glb,8658,4803
OTHER,/2d-ftu-illustrations,8506,3983
OTHER,/objects/v1.2/vh_f_heart.glb,8030,4621
OTHER,/objects/v1.2/vh_m_skin.glb,7931,4475
OTHER,/.well-known/traffic-advice,7903,702
OTHER,/objects/v1.3/3d-vh-f-skin.glb,7789,4417
OTHER,/wp-login.php,7602,3220
EUI,/hubmap-hra-api/v1/cell-type-term-occurences,7548,1124
EUI,/hubmap-hra-api/v1/ontology-term-occurences,7527,1121
OTHER,/objects/v1.2/vh_f_kidney_r.glb,7496,4326
OTHER,/objects/v1.2/vh_m_kidney_r.glb,7443,4286
OTHER,/objects/v1.2/vh_m_spleen.glb,7360,4298
OTHER,/objects/v1.2/vh_f_spleen.glb,7155,4221
OTHER,/rui/,7018,3184
EUI,/hubmap-hra-api/v1/scene,7001,1124
OTHER,/events/2024-24h/,6978,3945
EUI,/hubmap-hra-api/v1/biomarker-term-occurences,6846,1116
OTHER,/api/v1/corridor,6841,37
OTHER,/asct-b/uterus/v1.1,6681,458
OTHER,/asct-b/lung/v1.0,6657,160
OTHER,/asctb-reporter,6635,2562
CDE,/cde/,6276,3442
OTHER,/ftu-explorer/,5988,2574
RUI,/hra-api--staging/v1/tissue-blocks,5700,726
OTHER,/sitemap.xml,5650,793
EUI,/hubmap-hra-api/v1/reference-organs,5582,2219
OTHER,/hra-dashboard-data/dashboards/index.yaml,5554,1573
EUI,/hubmap-hra-api/v1/technology-names,5413,1103
OTHER,/xmlrpc.php,5383,2833
EUI,/hubmap-hra-api/v1/provider-names,5352,1098
OTHER,/api/v1/ftu-illustrations,5183,768
EUI,/hra-api--staging/v1/aggregate-results,5022,724
RUI,/api/v1/get-spatial-placement,4839,32
OTHER,/events/2022-24h/;;;/,4782,42
OTHER,/image-store/gloria_internal/ftu_demo/d265-lll-7a7-6_scan1_downscaled_2.pyramid.ome.tif,4603,1
OTHER,/asct-b/lung/v1.5,4405,475
EUI,/hra-api--staging/v1/ontology-term-occurences,4316,110
EUI,/hra-api--staging/v1/cell-type-term-occurences,4305,109
OTHER,/api/v1/consortium-names,4179,1801
OTHER,/image-store/gloria_internal/ftu_demo/d265-lll-7a7-6_scan1-marker-image-downscaled_2.pyramid.ome.tif,4085,1
OTHER,/asctb-reporter/,3952,2456
EUI,/hra-api--staging/v1/scene,3940,110
EUI,/hra-api--staging/v1/biomarker-term-occurences,3899,109
EUI,/hra-api--staging/v1/technology-names,3870,108
OTHER,/dashboard/,3869,2145
EUI,/hra-api--staging/v1/provider-names,3845,110
EUI,/hra-api/v1/reference-organ-scene,3707,242
OTHER,/us1/,3702,1163
